dteday,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,day,month,year,dow,woy,peak_hr,atemp_windspeed,hr_cat,temp_cat,hum_cat,cnt_season
2011-01-01,1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,1,1,2011,5,52,0,0,0,0,2,419006
2011-01-01,2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,1,1,2011,5,52,0,0,0,0,2,419006
2011-01-01,3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,1,1,2011,5,52,0,0,0,0,2,419006
2011-01-01,4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,1,1,2011,5,52,0,0,0,0,2,419006
2011-01-01,5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,1,1,2011,5,52,0,0,0,0,2,419006
2011-01-01,6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,1,1,2011,5,52,0,0,0,0,2,419006
2011-01-01,7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,1,1,2011,5,52,0,0,0,0,2,419006
2011-01-01,8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,1,1,2011,5,52,0,0,1,0,3,419006
2011-01-01,9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,1,1,2011,5,52,0,0,1,0,2,419006
2011-01-01,10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,1,1,2011,5,52,0,0,2,1,2,419006
2011-01-01,11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,1,1,2011,5,52,1,0,2,2,2,419006
2011-01-01,12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,1,1,2011,5,52,1,0,2,2,2,419006
2011-01-01,13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,1,1,2011,5,52,1,0,2,2,2,419006
2011-01-01,14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,1,1,2011,5,52,1,0,2,2,2,419006
2011-01-01,15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,1,1,2011,5,52,1,0,2,2,2,419006
2011-01-01,16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,1,1,2011,5,52,1,0,2,2,2,419006
2011-01-01,17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,1,1,2011,5,52,1,0,3,2,2,419006
2011-01-01,18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,1,1,2011,5,52,1,0,3,2,2,419006
2011-01-01,19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,1,1,2011,5,52,1,0,3,2,3,419006
2011-01-01,20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,1,1,2011,5,52,1,0,3,2,3,419006
2011-01-01,21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,1,1,2011,5,52,0,0,4,2,3,419006
2011-01-01,22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.19399999999999998,3,31,34,1,1,2011,5,52,0,0,4,2,3,419006
2011-01-01,23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,1,1,2011,5,52,0,0,5,2,3,419006
2011-01-01,24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,1,1,2011,5,52,0,0,5,2,3,419006
2011-01-02,25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,2,1,2011,6,52,0,0,0,2,3,419006
2011-01-02,26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,2,1,2011,6,52,0,0,0,2,3,419006
2011-01-02,27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,2,1,2011,6,52,0,0,0,2,3,419006
2011-01-02,28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.19399999999999998,2,4,6,2,1,2011,6,52,0,0,0,2,3,419006
2011-01-02,29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.19399999999999998,2,1,3,2,1,2011,6,52,0,0,0,2,3,419006
2011-01-02,30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,2,1,2011,6,52,0,0,0,2,2,419006
2011-01-02,31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.19399999999999998,0,1,1,2,1,2011,6,52,0,0,1,2,2,419006
2011-01-02,32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,2,1,2011,6,52,0,0,1,2,2,419006
2011-01-02,33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,2,1,2011,6,52,0,0,2,2,2,419006
2011-01-02,34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,2,1,2011,6,52,1,0,2,2,2,419006
2011-01-02,35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,2,1,2011,6,52,1,0,2,2,2,419006
2011-01-02,36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,2,1,2011,6,52,1,0,2,2,2,419006
2011-01-02,37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,2,1,2011,6,52,1,0,2,2,2,419006
2011-01-02,38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.19399999999999998,4,55,59,2,1,2011,6,52,1,0,2,2,2,419006
2011-01-02,39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,2,1,2011,6,52,1,0,2,1,2,419006
2011-01-02,40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,2,1,2011,6,52,1,0,3,1,2,419006
2011-01-02,41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.19399999999999998,7,58,65,2,1,2011,6,52,1,0,3,1,1,419006
2011-01-02,42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,2,1,2011,6,52,1,0,3,2,1,419006
2011-01-02,43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,2,1,2011,6,52,1,0,3,1,0,419006
2011-01-02,44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,2,1,2011,6,52,0,0,4,1,0,419006
2011-01-02,45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,2,1,2011,6,52,0,0,4,0,1,419006
2011-01-02,46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,2,1,2011,6,52,0,0,5,0,1,419006
2011-01-02,47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,2,1,2011,6,52,0,0,5,0,1,419006
2011-01-03,48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.19699999999999998,0.44,0.3582,0,5,5,3,1,2011,0,1,0,0,0,0,1,419006
2011-01-03,49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,3,1,2011,0,1,0,0,0,0,1,419006
2011-01-03,50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,3,1,2011,0,1,0,0,0,0,1,419006
2011-01-03,51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,3,1,2011,0,1,0,0,0,0,1,419006
2011-01-03,52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,3,1,2011,0,1,0,0,0,0,1,419006
2011-01-03,53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.19399999999999998,1,63,64,3,1,2011,0,1,1,0,1,0,1,419006
2011-01-03,54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,3,1,2011,0,1,1,0,1,0,1,419006
2011-01-03,55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,3,1,2011,0,1,1,0,2,0,0,419006
2011-01-03,56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,3,1,2011,0,1,0,0,2,0,0,419006
2011-01-03,57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,3,1,2011,0,1,0,0,2,0,0,419006
2011-01-03,58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,3,1,2011,0,1,0,0,2,0,0,419006
2011-01-03,59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,3,1,2011,0,1,0,0,2,0,0,419006
2011-01-03,60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,3,1,2011,0,1,0,0,2,0,0,419006
2011-01-03,61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,3,1,2011,0,1,0,0,2,0,0,419006
2011-01-03,62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,3,1,2011,0,1,0,0,3,0,0,419006
2011-01-03,63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,3,1,2011,0,1,1,0,3,0,0,419006
2011-01-03,64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,3,1,2011,0,1,1,0,3,0,0,419006
2011-01-03,65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,3,1,2011,0,1,1,0,3,0,1,419006
2011-01-03,66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,3,1,2011,0,1,0,0,4,0,1,419006
2011-01-03,67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.19699999999999998,0.64,0.1343,3,49,52,3,1,2011,0,1,0,0,4,0,2,419006
2011-01-03,68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,3,1,2011,0,1,0,0,5,0,2,419006
2011-01-03,69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,3,1,2011,0,1,0,0,5,0,1,419006
2011-01-04,70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,4,1,2011,1,1,0,0,0,0,1,419006
2011-01-04,71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,4,1,2011,1,1,0,0,0,0,1,419006
2011-01-04,72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,4,1,2011,1,1,0,0,0,0,2,419006
2011-01-04,73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,4,1,2011,1,1,0,0,0,0,2,419006
2011-01-04,74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,4,1,2011,1,1,0,0,0,0,2,419006
2011-01-04,75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,4,1,2011,1,1,0,0,0,0,2,419006
2011-01-04,76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,4,1,2011,1,1,1,0,1,0,2,419006
2011-01-04,77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,4,1,2011,1,1,1,0,1,0,2,419006
2011-01-04,78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,4,1,2011,1,1,1,0,2,0,2,419006
2011-01-04,79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,4,1,2011,1,1,0,0,2,0,2,419006
2011-01-04,80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,4,1,2011,1,1,0,0,2,0,1,419006
2011-01-04,81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,4,1,2011,1,1,0,0,2,0,1,419006
2011-01-04,82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.19399999999999998,18,79,97,4,1,2011,1,1,0,0,2,0,1,419006
2011-01-04,83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,4,1,2011,1,1,0,0,2,0,1,419006
2011-01-04,84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,4,1,2011,1,1,0,0,2,1,1,419006
2011-01-04,85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,4,1,2011,1,1,0,0,3,1,1,419006
2011-01-04,86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,4,1,2011,1,1,1,0,3,1,1,419006
2011-01-04,87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.19399999999999998,3,179,182,4,1,2011,1,1,1,0,3,0,1,419006
2011-01-04,88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,4,1,2011,1,1,1,0,3,0,1,419006
2011-01-04,89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,4,1,2011,1,1,0,0,4,0,1,419006
2011-01-04,90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,4,1,2011,1,1,0,0,4,0,2,419006
2011-01-04,91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,4,1,2011,1,1,0,0,5,0,2,419006
2011-01-04,92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,4,1,2011,1,1,0,0,5,0,2,419006
2011-01-05,93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,5,1,2011,2,1,0,0,0,0,2,419006
2011-01-05,94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.19699999999999998,0.74,0.0896,0,6,6,5,1,2011,2,1,0,0,0,0,2,419006
2011-01-05,95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.19699999999999998,0.74,0.0896,0,2,2,5,1,2011,2,1,0,0,0,0,2,419006
2011-01-05,96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,5,1,2011,2,1,0,0,0,0,1,419006
2011-01-05,97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,5,1,2011,2,1,0,0,0,0,1,419006
2011-01-05,98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.19699999999999998,0.47,0.2239,0,33,33,5,1,2011,2,1,0,0,0,0,1,419006
2011-01-05,99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.19399999999999998,1,87,88,5,1,2011,2,1,1,0,1,0,0,419006
2011-01-05,100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,5,1,2011,2,1,1,0,1,0,0,419006
2011-01-05,101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.19699999999999998,0.37,0.3284,6,109,115,5,1,2011,2,1,1,0,2,0,0,419006
2011-01-05,102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.19699999999999998,0.37,0.3284,4,53,57,5,1,2011,2,1,0,0,2,0,0,419006
2011-01-05,103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,5,1,2011,2,1,0,0,2,0,0,419006
2011-01-05,104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,5,1,2011,2,1,0,0,2,0,0,419006
2011-01-05,105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,5,1,2011,2,1,0,0,2,1,0,419006
2011-01-05,106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.19399999999999998,10,52,62,5,1,2011,2,1,0,0,2,1,0,419006
2011-01-05,107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.19399999999999998,7,55,62,5,1,2011,2,1,0,0,2,1,0,419006
2011-01-05,108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,5,1,2011,2,1,0,0,3,1,0,419006
2011-01-05,109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.19399999999999998,4,186,190,5,1,2011,2,1,1,0,3,0,0,419006
2011-01-05,110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,5,1,2011,2,1,1,0,3,0,0,419006
2011-01-05,111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,5,1,2011,2,1,1,0,3,0,0,419006
2011-01-05,112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,5,1,2011,2,1,0,0,4,0,1,419006
2011-01-05,113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.19699999999999998,0.51,0.19399999999999998,3,40,43,5,1,2011,2,1,0,0,4,0,1,419006
2011-01-05,114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.19699999999999998,0.55,0.1343,1,41,42,5,1,2011,2,1,0,0,5,0,1,419006
2011-01-05,115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,5,1,2011,2,1,0,0,5,0,1,419006
2011-01-06,116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,6,1,2011,3,1,0,0,0,0,1,419006
2011-01-06,117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,6,1,2011,3,1,0,0,0,0,2,419006
2011-01-06,118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,6,1,2011,3,1,0,0,0,0,2,419006
2011-01-06,119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.19699999999999998,0.64,0.0896,0,1,1,6,1,2011,3,1,0,0,0,0,2,419006
2011-01-06,120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,6,1,2011,3,1,0,0,0,0,2,419006
2011-01-06,121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,6,1,2011,3,1,0,0,0,0,2,419006
2011-01-06,122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,6,1,2011,3,1,1,0,1,0,1,419006
2011-01-06,123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,6,1,2011,3,1,1,0,1,0,1,419006
2011-01-06,124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,6,1,2011,3,1,1,0,2,0,1,419006
2011-01-06,125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,6,1,2011,3,1,0,0,2,0,1,419006
2011-01-06,126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,6,1,2011,3,1,0,0,2,0,1,419006
2011-01-06,127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,6,1,2011,3,1,0,0,2,0,0,419006
2011-01-06,128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,6,1,2011,3,1,0,0,2,0,0,419006
2011-01-06,129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,6,1,2011,3,1,0,0,2,1,0,419006
2011-01-06,130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,6,1,2011,3,1,0,0,2,1,0,419006
2011-01-06,131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,6,1,2011,3,1,0,0,3,0,0,419006
2011-01-06,132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,6,1,2011,3,1,1,0,3,0,1,419006
2011-01-06,133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,6,1,2011,3,1,1,0,3,0,1,419006
2011-01-06,134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,6,1,2011,3,1,1,0,3,0,1,419006
2011-01-06,135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,6,1,2011,3,1,0,0,4,0,1,419006
2011-01-06,136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,6,1,2011,3,1,0,0,4,0,1,419006
2011-01-06,137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,6,1,2011,3,1,0,0,5,0,1,419006
2011-01-06,138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.19699999999999998,0.59,0.19399999999999998,4,19,23,6,1,2011,3,1,0,0,5,0,1,419006
2011-01-07,139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.19699999999999998,0.64,0.19399999999999998,4,13,17,7,1,2011,4,1,0,0,0,0,2,419006
2011-01-07,140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.19699999999999998,0.69,0.2239,2,5,7,7,1,2011,4,1,0,0,0,0,2,419006
2011-01-07,141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.19699999999999998,0.69,0.2239,0,1,1,7,1,2011,4,1,0,0,0,0,2,419006
2011-01-07,142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,7,1,2011,4,1,0,0,0,0,2,419006
2011-01-07,143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,7,1,2011,4,1,0,0,0,0,1,419006
2011-01-07,144,2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,7,1,2011,4,1,0,0,0,0,2,419006
2011-01-07,145,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,7,1,2011,4,1,1,0,1,0,2,419006
2011-01-07,146,2011-01-07,1,0,1,8,0,5,1,1,0.2,0.19699999999999998,0.51,0.2537,20,190,210,7,1,2011,4,1,1,0,1,0,1,419006
2011-01-07,147,2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,7,1,2011,4,1,1,0,2,0,1,419006
2011-01-07,148,2011-01-07,1,0,1,10,0,5,1,1,0.22,0.19699999999999998,0.37,0.3284,16,47,63,7,1,2011,4,1,0,0,2,0,0,419006
2011-01-07,149,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.19699999999999998,0.4,0.2239,19,48,67,7,1,2011,4,1,0,0,2,0,0,419006
2011-01-07,150,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.19699999999999998,0.37,0.2537,9,50,59,7,1,2011,4,1,0,0,2,0,0,419006
2011-01-07,151,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,7,1,2011,4,1,0,0,2,0,0,419006
2011-01-07,152,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.19699999999999998,0.4,0.2537,7,43,50,7,1,2011,4,1,0,0,2,0,0,419006
2011-01-07,153,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,7,1,2011,4,1,0,0,2,0,0,419006
2011-01-07,154,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,7,1,2011,4,1,0,0,3,0,0,419006
2011-01-07,155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,7,1,2011,4,1,1,0,3,0,0,419006
2011-01-07,156,2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,7,1,2011,4,1,1,0,3,0,0,419006
2011-01-07,157,2011-01-07,1,0,1,19,0,5,1,1,0.16,0.19699999999999998,0.55,0.0896,3,92,95,7,1,2011,4,1,1,0,3,0,1,419006
2011-01-07,158,2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,7,1,2011,4,1,0,0,4,0,1,419006
2011-01-07,159,2011-01-07,1,0,1,21,0,5,1,1,0.18,0.19699999999999998,0.47,0.1343,0,39,39,7,1,2011,4,1,0,0,4,0,1,419006
2011-01-07,160,2011-01-07,1,0,1,22,0,5,1,2,0.18,0.19699999999999998,0.43,0.1642,2,34,36,7,1,2011,4,1,0,0,5,0,0,419006
2011-01-07,161,2011-01-07,1,0,1,23,0,5,1,2,0.18,0.19699999999999998,0.51,0.1642,1,14,15,7,1,2011,4,1,0,0,5,0,1,419006
2011-01-08,162,2011-01-08,1,0,1,0,0,6,0,2,0.18,0.19699999999999998,0.51,0.1642,1,24,25,8,1,2011,5,1,0,0,0,0,1,419006
